question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id2,qid0
Which zoning districts permit recreation centers?,id2,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id2,qid2
Which zoning districts allow quarries?,id2,qid3
Which zoning districts permit quarries?,id2,qid4
I would like to build quarries. Which zoning districts permits this use?,id2,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id2,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id2,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id2,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id2,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id2,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id2,qid11
Which zoning districts allow financial services?,id2,qid12
Which zoning districts permit financial services?,id2,qid13
I would like to build financial services. Which zoning districts permits this use?,id2,qid14
Which zoning districts allow places of religious worship?,id2,qid15
Which zoning districts permit places of religious worship?,id2,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id2,qid17
Which zoning districts allow temporary buildings?,id2,qid18
Which zoning districts permit temporary buildings?,id2,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id2,qid20
Which zoning districts allow boat storage yards?,id2,qid21
Which zoning districts permit boat storage yards?,id2,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id2,qid23
Which zoning districts allow wood products manufacturing and finishing?,id2,qid24
Which zoning districts permit wood products manufacturing and finishing?,id2,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id2,qid26
Which zoning districts allow private garages?,id2,qid27
Which zoning districts permit private garages?,id2,qid28
I would like to build private garages. Which zoning districts permits this use?,id2,qid29
Which zoning districts allow storage yards?,id2,qid30
Which zoning districts permit storage yards?,id2,qid31
I would like to build storage yards. Which zoning districts permits this use?,id2,qid32
Which zoning districts allow salt works?,id2,qid33
Which zoning districts permit salt works?,id2,qid34
I would like to build salt works. Which zoning districts permits this use?,id2,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id2,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id2,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id2,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id2,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id2,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id2,qid41
Which zoning districts allow stadiums and arenas?,id2,qid42
Which zoning districts permit stadiums and arenas?,id2,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id2,qid44
Which zoning districts allow petroleum refining?,id2,qid45
Which zoning districts permit petroleum refining?,id2,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id2,qid47
Which zoning districts allow monument works?,id2,qid48
Which zoning districts permit monument works?,id2,qid49
I would like to build monument works. Which zoning districts permits this use?,id2,qid50
Which zoning districts allow family and group day care facilities?,id2,qid51
Which zoning districts permit family and group day care facilities?,id2,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id2,qid53
Which zoning districts allow plastic product design molding and assembly?,id2,qid54
Which zoning districts permit plastic product design molding and assembly?,id2,qid55
