question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id15,qid0
Which zoning districts permit recreation centers?,id15,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id15,qid2
Which zoning districts allow quarries?,id15,qid3
Which zoning districts permit quarries?,id15,qid4
I would like to build quarries. Which zoning districts permits this use?,id15,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id15,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id15,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id15,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id15,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id15,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id15,qid11
Which zoning districts allow financial services?,id15,qid12
Which zoning districts permit financial services?,id15,qid13
I would like to build financial services. Which zoning districts permits this use?,id15,qid14
Which zoning districts allow places of religious worship?,id15,qid15
Which zoning districts permit places of religious worship?,id15,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id15,qid17
Which zoning districts allow temporary buildings?,id15,qid18
Which zoning districts permit temporary buildings?,id15,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id15,qid20
Which zoning districts allow boat storage yards?,id15,qid21
Which zoning districts permit boat storage yards?,id15,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id15,qid23
Which zoning districts allow wood products manufacturing and finishing?,id15,qid24
Which zoning districts permit wood products manufacturing and finishing?,id15,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id15,qid26
Which zoning districts allow private garages?,id15,qid27
Which zoning districts permit private garages?,id15,qid28
I would like to build private garages. Which zoning districts permits this use?,id15,qid29
Which zoning districts allow storage yards?,id15,qid30
Which zoning districts permit storage yards?,id15,qid31
I would like to build storage yards. Which zoning districts permits this use?,id15,qid32
Which zoning districts allow salt works?,id15,qid33
Which zoning districts permit salt works?,id15,qid34
I would like to build salt works. Which zoning districts permits this use?,id15,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id15,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id15,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id15,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id15,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id15,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id15,qid41
Which zoning districts allow stadiums and arenas?,id15,qid42
Which zoning districts permit stadiums and arenas?,id15,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id15,qid44
Which zoning districts allow petroleum refining?,id15,qid45
Which zoning districts permit petroleum refining?,id15,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id15,qid47
Which zoning districts allow monument works?,id15,qid48
Which zoning districts permit monument works?,id15,qid49
I would like to build monument works. Which zoning districts permits this use?,id15,qid50
Which zoning districts allow family and group day care facilities?,id15,qid51
Which zoning districts permit family and group day care facilities?,id15,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id15,qid53
Which zoning districts allow plastic product design molding and assembly?,id15,qid54
Which zoning districts permit plastic product design molding and assembly?,id15,qid55
I would like to build plastic product design molding and assembly. Which zoning districts permits this use?,id15,qid56
Which zoning districts allow auto body shops?,id15,qid57
Which zoning districts permit auto body shops?,id15,qid58
I would like to build auto body shops. Which zoning districts permits this use?,id15,qid59
Which zoning districts allow alcohol manufacturing?,id15,qid60
Which zoning districts permit alcohol manufacturing?,id15,qid61
I would like to build alcohol manufacturing. Which zoning districts permits this use?,id15,qid62
Which zoning districts allow public parking lots?,id15,qid63
Which zoning districts permit public parking lots?,id15,qid64
I would like to build public parking lots. Which zoning districts permits this use?,id15,qid65
Which zoning districts allow rehabilitation centers?,id15,qid66
Which zoning districts permit rehabilitation centers?,id15,qid67
I would like to build rehabilitation centers. Which zoning districts permits this use?,id15,qid68
Which zoning districts allow taverns and cocktail lounges?,id15,qid69
Which zoning districts permit taverns and cocktail lounges?,id15,qid70
I would like to build taverns and cocktail lounges. Which zoning districts permits this use?,id15,qid71
Which zoning districts allow self-storage warehouses?,id15,qid72
Which zoning districts permit self-storage warehouses?,id15,qid73
I would like to build self-storage warehouses. Which zoning districts permits this use?,id15,qid74
Which zoning districts allow automotive motor fuel dispensing facilities?,id15,qid75
Which zoning districts permit automotive motor fuel dispensing facilities?,id15,qid76
I would like to build automotive motor fuel dispensing facilities. Which zoning districts permits this use?,id15,qid77
Which zoning districts allow small metal products design casting fabricating and processing?,id15,qid78
Which zoning districts permit small metal products design casting fabricating and processing?,id15,qid79
I would like to build small metal products design casting fabricating and processing. Which zoning districts permits this use?,id15,qid80
Which zoning districts allow religious cultural and fraternal activities?,id15,qid81
Which zoning districts permit religious cultural and fraternal activities?,id15,qid82
I would like to build religious cultural and fraternal activities. Which zoning districts permits this use?,id15,qid83
Which zoning districts allow public utility stations?,id15,qid84
Which zoning districts permit public utility stations?,id15,qid85
I would like to build public utility stations. Which zoning districts permits this use?,id15,qid86
Which zoning districts allow business services?,id15,qid87
Which zoning districts permit business services?,id15,qid88
I would like to build business services. Which zoning districts permits this use?,id15,qid89
Which zoning districts allow cotton gins?,id15,qid90
Which zoning districts permit cotton gins?,id15,qid91
I would like to build cotton gins. Which zoning districts permits this use?,id15,qid92
Which zoning districts allow breweries?,id15,qid93
Which zoning districts permit breweries?,id15,qid94
I would like to build breweries. Which zoning districts permits this use?,id15,qid95
Which zoning districts allow dry cleaning plants?,id15,qid96
Which zoning districts permit dry cleaning plants?,id15,qid97
I would like to build dry cleaning plants. Which zoning districts permits this use?,id15,qid98
Which zoning districts allow health and medical institutions (such as hospitals)?,id15,qid99
Which zoning districts permit health and medical institutions (such as hospitals)?,id15,qid100
I would like to build health and medical institutions (such as hospitals). Which zoning districts permits this use?,id15,qid101
Which zoning districts allow public and governmental services?,id15,qid102
Which zoning districts permit public and governmental services?,id15,qid103
I would like to build public and governmental services. Which zoning districts permits this use?,id15,qid104
Which zoning districts allow libraries?,id15,qid105
Which zoning districts permit libraries?,id15,qid106
I would like to build libraries. Which zoning districts permits this use?,id15,qid107
Which zoning districts allow police and fire department stations?,id15,qid108
Which zoning districts permit police and fire department stations?,id15,qid109
I would like to build police and fire department stations. Which zoning districts permits this use?,id15,qid110
