question,document_identifier,question_identifier
Are community centers (including wholesale and retail sales) permitted in a C3 zoning district?,id17,qid500
Are community centers (including wholesale and retail sales) allowed in a C4 zoning district?,id17,qid501
Are community centers (including wholesale and retail sales) permitted in a C4 zoning district?,id17,qid502
Are health and medical institutions (such as hospitals) allowed in a C3 zoning district?,id17,qid503
Are health and medical institutions (such as hospitals) permitted in a C3 zoning district?,id17,qid504
Are health and medical institutions (such as hospitals) allowed in a C4 zoning district?,id17,qid505
Are health and medical institutions (such as hospitals) permitted in a C4 zoning district?,id17,qid506
Are hotels and motels (excluding other residential occupancies) allowed in a C3 zoning district?,id17,qid507
Are hotels and motels (excluding other residential occupancies) permitted in a C3 zoning district?,id17,qid508
Are hotels and motels (excluding other residential occupancies) allowed in a C4 zoning district?,id17,qid509
Are hotels and motels (excluding other residential occupancies) permitted in a C4 zoning district?,id17,qid510
Are commercial printing and publishing allowed in a C3 zoning district?,id17,qid511
Are commercial printing and publishing permitted in a C3 zoning district?,id17,qid512
Are commercial printing and publishing allowed in a C4 zoning district?,id17,qid513
Are commercial printing and publishing permitted in a C4 zoning district?,id17,qid514
Are taverns and cocktail lounges allowed in a C3 zoning district?,id17,qid515
Are taverns and cocktail lounges permitted in a C3 zoning district?,id17,qid516
Are taverns and cocktail lounges allowed in a C4 zoning district?,id17,qid517
Are taverns and cocktail lounges permitted in a C4 zoning district?,id17,qid518
Are indoor theaters allowed in a C3 zoning district?,id17,qid519
Are indoor theaters permitted in a C3 zoning district?,id17,qid520
Are indoor theaters allowed in a C4 zoning district?,id17,qid521
Are indoor theaters permitted in a C4 zoning district?,id17,qid522
Are self-storage warehouses allowed in a C3 zoning district?,id17,qid523
Are self-storage warehouses permitted in a C3 zoning district?,id17,qid524
Are self-storage warehouses allowed in a C4 zoning district?,id17,qid525
Are self-storage warehouses permitted in a C4 zoning district?,id17,qid526
Are major automotive repair allowed in a C4 zoning district?,id17,qid527
Are major automotive repair permitted in a C4 zoning district?,id17,qid528
Are commercial bakeries allowed in a C4 zoning district?,id17,qid529
Are commercial bakeries permitted in a C4 zoning district?,id17,qid530
Are regional commercial centers (including wholesale and retail sales) allowed in a C4 zoning district?,id17,qid531
Are regional commercial centers (including wholesale and retail sales) permitted in a C4 zoning district?,id17,qid532
Are plastic product design molding and assembly allowed in a C4 zoning district?,id17,qid533
Are plastic product design molding and assembly permitted in a C4 zoning district?,id17,qid534
Are small metal products design casting fabricating and processing allowed in a C4 zoning district?,id17,qid535
Are small metal products design casting fabricating and processing permitted in a C4 zoning district?,id17,qid536
Are manufacture and finishing allowed in a C4 zoning district?,id17,qid537
Are manufacture and finishing permitted in a C4 zoning district?,id17,qid538
Are storage yards allowed in a C4 zoning district?,id17,qid539
Are storage yards permitted in a C4 zoning district?,id17,qid540
Are wood products manufacturing and finishing allowed in a C4 zoning district?,id17,qid541
Are wood products manufacturing and finishing permitted in a C4 zoning district?,id17,qid542
Are warehouses allowed in a FI1 zoning district?,id17,qid543
Are warehouses permitted in a FI1 zoning district?,id17,qid544
Are warehouses allowed in a FI2 zoning district?,id17,qid545
Are warehouses permitted in a FI2 zoning district?,id17,qid546
Are warehouses allowed in a FI3 zoning district?,id17,qid547
Are warehouses permitted in a FI3 zoning district?,id17,qid548
Are research or testing laboratories allowed in a FI1 zoning district?,id17,qid549
Are research or testing laboratories permitted in a FI1 zoning district?,id17,qid550
Are research or testing laboratories allowed in a FI2 zoning district?,id17,qid551
Are research or testing laboratories permitted in a FI2 zoning district?,id17,qid552
Are research or testing laboratories allowed in a FI3 zoning district?,id17,qid553
Are research or testing laboratories permitted in a FI3 zoning district?,id17,qid554
Are product distribution centers allowed in a FI1 zoning district?,id17,qid555
Are product distribution centers permitted in a FI1 zoning district?,id17,qid556
Are product distribution centers allowed in a FI2 zoning district?,id17,qid557
Are product distribution centers permitted in a FI2 zoning district?,id17,qid558
Are product distribution centers allowed in a FI3 zoning district?,id17,qid559
Are product distribution centers permitted in a FI3 zoning district?,id17,qid560
Are woodworking shops allowed in a FI1 zoning district?,id17,qid561
Are woodworking shops permitted in a FI1 zoning district?,id17,qid562
Are woodworking shops allowed in a FI2 zoning district?,id17,qid563
Are woodworking shops permitted in a FI2 zoning district?,id17,qid564
Are woodworking shops allowed in a FI3 zoning district?,id17,qid565
Are woodworking shops permitted in a FI3 zoning district?,id17,qid566
Are auto body shops allowed in a FI1 zoning district?,id17,qid567
Are auto body shops permitted in a FI1 zoning district?,id17,qid568
Are auto body shops allowed in a FI2 zoning district?,id17,qid569
Are auto body shops permitted in a FI2 zoning district?,id17,qid570
Are auto body shops allowed in a FI3 zoning district?,id17,qid571
Are auto body shops permitted in a FI3 zoning district?,id17,qid572
Are furniture assembly allowed in a FI1 zoning district?,id17,qid573
Are furniture assembly permitted in a FI1 zoning district?,id17,qid574
Are furniture assembly allowed in a FI2 zoning district?,id17,qid575
Are furniture assembly permitted in a FI2 zoning district?,id17,qid576
Are furniture assembly allowed in a FI3 zoning district?,id17,qid577
Are furniture assembly permitted in a FI3 zoning district?,id17,qid578
Are dry cleaning plants allowed in a FI1 zoning district?,id17,qid579
Are dry cleaning plants permitted in a FI1 zoning district?,id17,qid580
Are dry cleaning plants allowed in a FI2 zoning district?,id17,qid581
Are dry cleaning plants permitted in a FI2 zoning district?,id17,qid582
Are dry cleaning plants allowed in a FI3 zoning district?,id17,qid583
Are dry cleaning plants permitted in a FI3 zoning district?,id17,qid584
Are machine shops allowed in a FI1 zoning district?,id17,qid585
Are machine shops permitted in a FI1 zoning district?,id17,qid586
Are machine shops allowed in a FI2 zoning district?,id17,qid587
Are machine shops permitted in a FI2 zoning district?,id17,qid588
Are machine shops allowed in a FI3 zoning district?,id17,qid589
Are machine shops permitted in a FI3 zoning district?,id17,qid590
Are boat storage yards allowed in a FI1 zoning district?,id17,qid591
Are boat storage yards permitted in a FI1 zoning district?,id17,qid592
Are boat storage yards allowed in a FI2 zoning district?,id17,qid593
Are boat storage yards permitted in a FI2 zoning district?,id17,qid594
Are boat storage yards allowed in a FI3 zoning district?,id17,qid595
Are boat storage yards permitted in a FI3 zoning district?,id17,qid596
Are stadiums and arenas allowed in a FI2 zoning district?,id17,qid597
Are stadiums and arenas permitted in a FI2 zoning district?,id17,qid598
Are stadiums and arenas allowed in a FI3 zoning district?,id17,qid599
Are stadiums and arenas permitted in a FI3 zoning district?,id17,qid600
Are indoor swap meets allowed in a FI2 zoning district?,id17,qid601
Are indoor swap meets permitted in a FI2 zoning district?,id17,qid602
Are indoor swap meets allowed in a FI3 zoning district?,id17,qid603
Are indoor swap meets permitted in a FI3 zoning district?,id17,qid604
Are breweries allowed in a FI2 zoning district?,id17,qid605
Are breweries permitted in a FI2 zoning district?,id17,qid606
Are breweries allowed in a FI3 zoning district?,id17,qid607
Are breweries permitted in a FI3 zoning district?,id17,qid608
Are liquid fertilizer manufacturing allowed in a FI2 zoning district?,id17,qid609
Are liquid fertilizer manufacturing permitted in a FI2 zoning district?,id17,qid610
Are liquid fertilizer manufacturing allowed in a FI3 zoning district?,id17,qid611
Are liquid fertilizer manufacturing permitted in a FI3 zoning district?,id17,qid612
Are carpet manufacturing allowed in a FI2 zoning district?,id17,qid613
Are carpet manufacturing permitted in a FI2 zoning district?,id17,qid614
Are carpet manufacturing allowed in a FI3 zoning district?,id17,qid615
Are carpet manufacturing permitted in a FI3 zoning district?,id17,qid616
Are monument works allowed in a FI2 zoning district?,id17,qid617
Are monument works permitted in a FI2 zoning district?,id17,qid618
Are monument works allowed in a FI3 zoning district?,id17,qid619
Are monument works permitted in a FI3 zoning district?,id17,qid620
Are regional recycling center allowed in a FI2 zoning district?,id17,qid621
Are regional recycling center permitted in a FI2 zoning district?,id17,qid622
Are regional recycling center allowed in a FI3 zoning district?,id17,qid623
Are regional recycling center permitted in a FI3 zoning district?,id17,qid624
Are auto-dismantling yards allowed in a FI3 zoning district?,id17,qid625
Are auto-dismantling yards permitted in a FI3 zoning district?,id17,qid626
Are alcohol manufacturing allowed in a FI3 zoning district?,id17,qid627
