question,document_identifier,question_identifier
Are community centers (including wholesale and retail sales) permitted in a C3 zoning district?,id13,qid500
Are community centers (including wholesale and retail sales) allowed in a C4 zoning district?,id13,qid501
Are community centers (including wholesale and retail sales) permitted in a C4 zoning district?,id13,qid502
Are health and medical institutions (such as hospitals) allowed in a C3 zoning district?,id13,qid503
Are health and medical institutions (such as hospitals) permitted in a C3 zoning district?,id13,qid504
Are health and medical institutions (such as hospitals) allowed in a C4 zoning district?,id13,qid505
Are health and medical institutions (such as hospitals) permitted in a C4 zoning district?,id13,qid506
Are hotels and motels (excluding other residential occupancies) allowed in a C3 zoning district?,id13,qid507
Are hotels and motels (excluding other residential occupancies) permitted in a C3 zoning district?,id13,qid508
Are hotels and motels (excluding other residential occupancies) allowed in a C4 zoning district?,id13,qid509
Are hotels and motels (excluding other residential occupancies) permitted in a C4 zoning district?,id13,qid510
Are commercial printing and publishing allowed in a C3 zoning district?,id13,qid511
Are commercial printing and publishing permitted in a C3 zoning district?,id13,qid512
Are commercial printing and publishing allowed in a C4 zoning district?,id13,qid513
Are commercial printing and publishing permitted in a C4 zoning district?,id13,qid514
Are taverns and cocktail lounges allowed in a C3 zoning district?,id13,qid515
Are taverns and cocktail lounges permitted in a C3 zoning district?,id13,qid516
Are taverns and cocktail lounges allowed in a C4 zoning district?,id13,qid517
Are taverns and cocktail lounges permitted in a C4 zoning district?,id13,qid518
Are indoor theaters allowed in a C3 zoning district?,id13,qid519
Are indoor theaters permitted in a C3 zoning district?,id13,qid520
Are indoor theaters allowed in a C4 zoning district?,id13,qid521
Are indoor theaters permitted in a C4 zoning district?,id13,qid522
Are self-storage warehouses allowed in a C3 zoning district?,id13,qid523
Are self-storage warehouses permitted in a C3 zoning district?,id13,qid524
Are self-storage warehouses allowed in a C4 zoning district?,id13,qid525
Are self-storage warehouses permitted in a C4 zoning district?,id13,qid526
Are major automotive repair allowed in a C4 zoning district?,id13,qid527
Are major automotive repair permitted in a C4 zoning district?,id13,qid528
Are commercial bakeries allowed in a C4 zoning district?,id13,qid529
Are commercial bakeries permitted in a C4 zoning district?,id13,qid530
Are regional commercial centers (including wholesale and retail sales) allowed in a C4 zoning district?,id13,qid531
Are regional commercial centers (including wholesale and retail sales) permitted in a C4 zoning district?,id13,qid532
Are plastic product design molding and assembly allowed in a C4 zoning district?,id13,qid533
Are plastic product design molding and assembly permitted in a C4 zoning district?,id13,qid534
Are small metal products design casting fabricating and processing allowed in a C4 zoning district?,id13,qid535
Are small metal products design casting fabricating and processing permitted in a C4 zoning district?,id13,qid536
Are manufacture and finishing allowed in a C4 zoning district?,id13,qid537
Are manufacture and finishing permitted in a C4 zoning district?,id13,qid538
Are storage yards allowed in a C4 zoning district?,id13,qid539
Are storage yards permitted in a C4 zoning district?,id13,qid540
Are wood products manufacturing and finishing allowed in a C4 zoning district?,id13,qid541
Are wood products manufacturing and finishing permitted in a C4 zoning district?,id13,qid542
Are warehouses allowed in a FI1 zoning district?,id13,qid543
Are warehouses permitted in a FI1 zoning district?,id13,qid544
Are warehouses allowed in a FI2 zoning district?,id13,qid545
Are warehouses permitted in a FI2 zoning district?,id13,qid546
