question,document_identifier,question_identifier
Are private garages allowed?,id9,qid1000
Are buildings accessory to the permitted used (including private garages and accessory living quarters) permitted?,id9,qid1001
Are buildings accessory to the permitted used (including private garages and accessory living quarters) allowed?,id9,qid1002
Are major automotive repair permitted?,id9,qid1003
Are major automotive repair allowed?,id9,qid1004
Are Minor automotive repair permitted?,id9,qid1005
Are Minor automotive repair allowed?,id9,qid1006
Are physical fitness centers permitted?,id9,qid1007
Are physical fitness centers allowed?,id9,qid1008
Are public and governmental services permitted?,id9,qid1009
Are public and governmental services allowed?,id9,qid1010
Are family and group day care facilities permitted?,id9,qid1011
Are family and group day care facilities allowed?,id9,qid1012
Are petroleum refining permitted?,id9,qid1013
Are petroleum refining allowed?,id9,qid1014
Are swimming pools and playgrounds permitted?,id9,qid1015
Are swimming pools and playgrounds allowed?,id9,qid1016
Are woodworking shops permitted?,id9,qid1017
Are woodworking shops allowed?,id9,qid1018
Are agricultural Use permitted?,id9,qid1019
Are agricultural Use allowed?,id9,qid1020
Are boat storage yards permitted?,id9,qid1021
Are boat storage yards allowed?,id9,qid1022
Are breweries permitted?,id9,qid1023
Are breweries allowed?,id9,qid1024
Are recreation centers permitted?,id9,qid1025
Are recreation centers allowed?,id9,qid1026
Are stadiums and arenas permitted?,id9,qid1027
Are stadiums and arenas allowed?,id9,qid1028
Are machine shops permitted?,id9,qid1029
Are machine shops allowed?,id9,qid1030
Are alcohol manufacturing permitted?,id9,qid1031
Are alcohol manufacturing allowed?,id9,qid1032
Are places of religious worship permitted?,id9,qid1033
Are places of religious worship allowed?,id9,qid1034
Are schools and colleges (excluding colleges or trade schools operated for profit) permitted?,id9,qid1035
Are schools and colleges (excluding colleges or trade schools operated for profit) allowed?,id9,qid1036
Are public parking lots permitted?,id9,qid1037
Are public parking lots allowed?,id9,qid1038
Are light commercial (excluding wholesale sales) permitted?,id9,qid1039
Are light commercial (excluding wholesale sales) allowed?,id9,qid1040
Are indoor theaters permitted?,id9,qid1041
Are indoor theaters allowed?,id9,qid1042
Are financial services permitted?,id9,qid1043
Are financial services allowed?,id9,qid1044
Are religious cultural and fraternal activities permitted?,id9,qid1045
Are religious cultural and fraternal activities allowed?,id9,qid1046
Are health and medical institutions (such as hospitals) permitted?,id9,qid1047
Are health and medical institutions (such as hospitals) allowed?,id9,qid1048
Are building material supply sales (wholesale and retail) permitted?,id9,qid1049
Are building material supply sales (wholesale and retail) allowed?,id9,qid1050
Are plastic product design molding and assembly permitted?,id9,qid1051
Are plastic product design molding and assembly allowed?,id9,qid1052
Are single-family dwellings permitted?,id9,qid1053
Are single-family dwellings allowed?,id9,qid1054
Are research or testing laboratories permitted?,id9,qid1055
Are research or testing laboratories allowed?,id9,qid1056
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences permitted?,id9,qid1057
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences allowed?,id9,qid1058
Are libraries permitted?,id9,qid1059
Are libraries allowed?,id9,qid1060
Are school and colleges operated for profit (including commercial vocational and trade schools) permitted?,id9,qid1061
Are school and colleges operated for profit (including commercial vocational and trade schools) allowed?,id9,qid1062
Are business services permitted?,id9,qid1063
Are business services allowed?,id9,qid1064
Are quarries permitted?,id9,qid1065
Are quarries allowed?,id9,qid1066
Are hotels and motels (excluding other residential occupancies) permitted?,id9,qid1067
Are hotels and motels (excluding other residential occupancies) allowed?,id9,qid1068
Are indoor swap meets permitted?,id9,qid1069
Are indoor swap meets allowed?,id9,qid1070
Are auto body shops permitted?,id9,qid1071
Are auto body shops allowed?,id9,qid1072
