question,document_identifier,question_identifier
Are private garages allowed?,id13,qid1000
Are buildings accessory to the permitted used (including private garages and accessory living quarters) permitted?,id13,qid1001
Are buildings accessory to the permitted used (including private garages and accessory living quarters) allowed?,id13,qid1002
Are major automotive repair permitted?,id13,qid1003
Are major automotive repair allowed?,id13,qid1004
Are Minor automotive repair permitted?,id13,qid1005
Are Minor automotive repair allowed?,id13,qid1006
Are physical fitness centers permitted?,id13,qid1007
Are physical fitness centers allowed?,id13,qid1008
Are public and governmental services permitted?,id13,qid1009
Are public and governmental services allowed?,id13,qid1010
Are family and group day care facilities permitted?,id13,qid1011
Are family and group day care facilities allowed?,id13,qid1012
Are petroleum refining permitted?,id13,qid1013
Are petroleum refining allowed?,id13,qid1014
Are swimming pools and playgrounds permitted?,id13,qid1015
Are swimming pools and playgrounds allowed?,id13,qid1016
Are woodworking shops permitted?,id13,qid1017
Are woodworking shops allowed?,id13,qid1018
Are agricultural Use permitted?,id13,qid1019
Are agricultural Use allowed?,id13,qid1020
Are boat storage yards permitted?,id13,qid1021
Are boat storage yards allowed?,id13,qid1022
Are breweries permitted?,id13,qid1023
Are breweries allowed?,id13,qid1024
Are recreation centers permitted?,id13,qid1025
Are recreation centers allowed?,id13,qid1026
Are stadiums and arenas permitted?,id13,qid1027
Are stadiums and arenas allowed?,id13,qid1028
Are machine shops permitted?,id13,qid1029
Are machine shops allowed?,id13,qid1030
Are alcohol manufacturing permitted?,id13,qid1031
Are alcohol manufacturing allowed?,id13,qid1032
Are places of religious worship permitted?,id13,qid1033
Are places of religious worship allowed?,id13,qid1034
Are schools and colleges (excluding colleges or trade schools operated for profit) permitted?,id13,qid1035
Are schools and colleges (excluding colleges or trade schools operated for profit) allowed?,id13,qid1036
Are public parking lots permitted?,id13,qid1037
Are public parking lots allowed?,id13,qid1038
Are light commercial (excluding wholesale sales) permitted?,id13,qid1039
Are light commercial (excluding wholesale sales) allowed?,id13,qid1040
Are indoor theaters permitted?,id13,qid1041
Are indoor theaters allowed?,id13,qid1042
Are financial services permitted?,id13,qid1043
Are financial services allowed?,id13,qid1044
Are religious cultural and fraternal activities permitted?,id13,qid1045
Are religious cultural and fraternal activities allowed?,id13,qid1046
Are health and medical institutions (such as hospitals) permitted?,id13,qid1047
Are health and medical institutions (such as hospitals) allowed?,id13,qid1048
Are building material supply sales (wholesale and retail) permitted?,id13,qid1049
Are building material supply sales (wholesale and retail) allowed?,id13,qid1050
Are plastic product design molding and assembly permitted?,id13,qid1051
Are plastic product design molding and assembly allowed?,id13,qid1052
Are single-family dwellings permitted?,id13,qid1053
Are single-family dwellings allowed?,id13,qid1054
Are research or testing laboratories permitted?,id13,qid1055
Are research or testing laboratories allowed?,id13,qid1056
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences permitted?,id13,qid1057
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences allowed?,id13,qid1058
Are libraries permitted?,id13,qid1059
Are libraries allowed?,id13,qid1060
Are school and colleges operated for profit (including commercial vocational and trade schools) permitted?,id13,qid1061
Are school and colleges operated for profit (including commercial vocational and trade schools) allowed?,id13,qid1062
Are business services permitted?,id13,qid1063
Are business services allowed?,id13,qid1064
Are quarries permitted?,id13,qid1065
Are quarries allowed?,id13,qid1066
Are hotels and motels (excluding other residential occupancies) permitted?,id13,qid1067
Are hotels and motels (excluding other residential occupancies) allowed?,id13,qid1068
Are indoor swap meets permitted?,id13,qid1069
Are indoor swap meets allowed?,id13,qid1070
Are auto body shops permitted?,id13,qid1071
Are auto body shops allowed?,id13,qid1072
