question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id17,qid0
Which zoning districts permit recreation centers?,id17,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id17,qid2
Which zoning districts allow quarries?,id17,qid3
Which zoning districts permit quarries?,id17,qid4
I would like to build quarries. Which zoning districts permits this use?,id17,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id17,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id17,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id17,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id17,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id17,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id17,qid11
Which zoning districts allow financial services?,id17,qid12
Which zoning districts permit financial services?,id17,qid13
I would like to build financial services. Which zoning districts permits this use?,id17,qid14
Which zoning districts allow places of religious worship?,id17,qid15
Which zoning districts permit places of religious worship?,id17,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id17,qid17
Which zoning districts allow temporary buildings?,id17,qid18
Which zoning districts permit temporary buildings?,id17,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id17,qid20
Which zoning districts allow boat storage yards?,id17,qid21
Which zoning districts permit boat storage yards?,id17,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id17,qid23
Which zoning districts allow wood products manufacturing and finishing?,id17,qid24
Which zoning districts permit wood products manufacturing and finishing?,id17,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id17,qid26
Which zoning districts allow private garages?,id17,qid27
Which zoning districts permit private garages?,id17,qid28
I would like to build private garages. Which zoning districts permits this use?,id17,qid29
Which zoning districts allow storage yards?,id17,qid30
Which zoning districts permit storage yards?,id17,qid31
I would like to build storage yards. Which zoning districts permits this use?,id17,qid32
Which zoning districts allow salt works?,id17,qid33
Which zoning districts permit salt works?,id17,qid34
I would like to build salt works. Which zoning districts permits this use?,id17,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id17,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id17,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id17,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id17,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id17,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id17,qid41
Which zoning districts allow stadiums and arenas?,id17,qid42
Which zoning districts permit stadiums and arenas?,id17,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id17,qid44
Which zoning districts allow petroleum refining?,id17,qid45
Which zoning districts permit petroleum refining?,id17,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id17,qid47
Which zoning districts allow monument works?,id17,qid48
Which zoning districts permit monument works?,id17,qid49
I would like to build monument works. Which zoning districts permits this use?,id17,qid50
Which zoning districts allow family and group day care facilities?,id17,qid51
Which zoning districts permit family and group day care facilities?,id17,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id17,qid53
Which zoning districts allow plastic product design molding and assembly?,id17,qid54
Which zoning districts permit plastic product design molding and assembly?,id17,qid55
I would like to build plastic product design molding and assembly. Which zoning districts permits this use?,id17,qid56
