question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id10,qid0
Which zoning districts permit recreation centers?,id10,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id10,qid2
Which zoning districts allow quarries?,id10,qid3
Which zoning districts permit quarries?,id10,qid4
I would like to build quarries. Which zoning districts permits this use?,id10,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id10,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id10,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id10,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id10,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id10,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id10,qid11
Which zoning districts allow financial services?,id10,qid12
Which zoning districts permit financial services?,id10,qid13
I would like to build financial services. Which zoning districts permits this use?,id10,qid14
Which zoning districts allow places of religious worship?,id10,qid15
Which zoning districts permit places of religious worship?,id10,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id10,qid17
Which zoning districts allow temporary buildings?,id10,qid18
Which zoning districts permit temporary buildings?,id10,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id10,qid20
Which zoning districts allow boat storage yards?,id10,qid21
Which zoning districts permit boat storage yards?,id10,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id10,qid23
Which zoning districts allow wood products manufacturing and finishing?,id10,qid24
Which zoning districts permit wood products manufacturing and finishing?,id10,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id10,qid26
Which zoning districts allow private garages?,id10,qid27
Which zoning districts permit private garages?,id10,qid28
I would like to build private garages. Which zoning districts permits this use?,id10,qid29
Which zoning districts allow storage yards?,id10,qid30
Which zoning districts permit storage yards?,id10,qid31
I would like to build storage yards. Which zoning districts permits this use?,id10,qid32
Which zoning districts allow salt works?,id10,qid33
Which zoning districts permit salt works?,id10,qid34
I would like to build salt works. Which zoning districts permits this use?,id10,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id10,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id10,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id10,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id10,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id10,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id10,qid41
Which zoning districts allow stadiums and arenas?,id10,qid42
Which zoning districts permit stadiums and arenas?,id10,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id10,qid44
Which zoning districts allow petroleum refining?,id10,qid45
Which zoning districts permit petroleum refining?,id10,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id10,qid47
Which zoning districts allow monument works?,id10,qid48
Which zoning districts permit monument works?,id10,qid49
I would like to build monument works. Which zoning districts permits this use?,id10,qid50
Which zoning districts allow family and group day care facilities?,id10,qid51
Which zoning districts permit family and group day care facilities?,id10,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id10,qid53
Which zoning districts allow plastic product design molding and assembly?,id10,qid54
Which zoning districts permit plastic product design molding and assembly?,id10,qid55
I would like to build plastic product design molding and assembly. Which zoning districts permits this use?,id10,qid56
Which zoning districts allow auto body shops?,id10,qid57
Which zoning districts permit auto body shops?,id10,qid58
I would like to build auto body shops. Which zoning districts permits this use?,id10,qid59
Which zoning districts allow alcohol manufacturing?,id10,qid60
Which zoning districts permit alcohol manufacturing?,id10,qid61
I would like to build alcohol manufacturing. Which zoning districts permits this use?,id10,qid62
Which zoning districts allow public parking lots?,id10,qid63
Which zoning districts permit public parking lots?,id10,qid64
I would like to build public parking lots. Which zoning districts permits this use?,id10,qid65
Which zoning districts allow rehabilitation centers?,id10,qid66
Which zoning districts permit rehabilitation centers?,id10,qid67
I would like to build rehabilitation centers. Which zoning districts permits this use?,id10,qid68
Which zoning districts allow taverns and cocktail lounges?,id10,qid69
Which zoning districts permit taverns and cocktail lounges?,id10,qid70
I would like to build taverns and cocktail lounges. Which zoning districts permits this use?,id10,qid71
Which zoning districts allow self-storage warehouses?,id10,qid72
Which zoning districts permit self-storage warehouses?,id10,qid73
I would like to build self-storage warehouses. Which zoning districts permits this use?,id10,qid74
Which zoning districts allow automotive motor fuel dispensing facilities?,id10,qid75
Which zoning districts permit automotive motor fuel dispensing facilities?,id10,qid76
I would like to build automotive motor fuel dispensing facilities. Which zoning districts permits this use?,id10,qid77
Which zoning districts allow small metal products design casting fabricating and processing?,id10,qid78
Which zoning districts permit small metal products design casting fabricating and processing?,id10,qid79
I would like to build small metal products design casting fabricating and processing. Which zoning districts permits this use?,id10,qid80
Which zoning districts allow religious cultural and fraternal activities?,id10,qid81
Which zoning districts permit religious cultural and fraternal activities?,id10,qid82
I would like to build religious cultural and fraternal activities. Which zoning districts permits this use?,id10,qid83
Which zoning districts allow public utility stations?,id10,qid84
Which zoning districts permit public utility stations?,id10,qid85
I would like to build public utility stations. Which zoning districts permits this use?,id10,qid86
Which zoning districts allow business services?,id10,qid87
Which zoning districts permit business services?,id10,qid88
I would like to build business services. Which zoning districts permits this use?,id10,qid89
Which zoning districts allow cotton gins?,id10,qid90
Which zoning districts permit cotton gins?,id10,qid91
I would like to build cotton gins. Which zoning districts permits this use?,id10,qid92
Which zoning districts allow breweries?,id10,qid93
Which zoning districts permit breweries?,id10,qid94
I would like to build breweries. Which zoning districts permits this use?,id10,qid95
Which zoning districts allow dry cleaning plants?,id10,qid96
Which zoning districts permit dry cleaning plants?,id10,qid97
I would like to build dry cleaning plants. Which zoning districts permits this use?,id10,qid98
Which zoning districts allow health and medical institutions (such as hospitals)?,id10,qid99
Which zoning districts permit health and medical institutions (such as hospitals)?,id10,qid100
I would like to build health and medical institutions (such as hospitals). Which zoning districts permits this use?,id10,qid101
Which zoning districts allow public and governmental services?,id10,qid102
Which zoning districts permit public and governmental services?,id10,qid103
I would like to build public and governmental services. Which zoning districts permits this use?,id10,qid104
Which zoning districts allow libraries?,id10,qid105
Which zoning districts permit libraries?,id10,qid106
I would like to build libraries. Which zoning districts permits this use?,id10,qid107
Which zoning districts allow police and fire department stations?,id10,qid108
Which zoning districts permit police and fire department stations?,id10,qid109
