question,document_identifier,question_identifier
Are private garages allowed?,id5,qid1000
Are buildings accessory to the permitted used (including private garages and accessory living quarters) permitted?,id5,qid1001
Are buildings accessory to the permitted used (including private garages and accessory living quarters) allowed?,id5,qid1002
Are major automotive repair permitted?,id5,qid1003
Are major automotive repair allowed?,id5,qid1004
Are Minor automotive repair permitted?,id5,qid1005
Are Minor automotive repair allowed?,id5,qid1006
Are physical fitness centers permitted?,id5,qid1007
Are physical fitness centers allowed?,id5,qid1008
Are public and governmental services permitted?,id5,qid1009
Are public and governmental services allowed?,id5,qid1010
Are family and group day care facilities permitted?,id5,qid1011
Are family and group day care facilities allowed?,id5,qid1012
Are petroleum refining permitted?,id5,qid1013
Are petroleum refining allowed?,id5,qid1014
Are swimming pools and playgrounds permitted?,id5,qid1015
Are swimming pools and playgrounds allowed?,id5,qid1016
Are woodworking shops permitted?,id5,qid1017
Are woodworking shops allowed?,id5,qid1018
Are agricultural Use permitted?,id5,qid1019
Are agricultural Use allowed?,id5,qid1020
Are boat storage yards permitted?,id5,qid1021
Are boat storage yards allowed?,id5,qid1022
Are breweries permitted?,id5,qid1023
Are breweries allowed?,id5,qid1024
Are recreation centers permitted?,id5,qid1025
Are recreation centers allowed?,id5,qid1026
Are stadiums and arenas permitted?,id5,qid1027
Are stadiums and arenas allowed?,id5,qid1028
Are machine shops permitted?,id5,qid1029
Are machine shops allowed?,id5,qid1030
Are alcohol manufacturing permitted?,id5,qid1031
Are alcohol manufacturing allowed?,id5,qid1032
Are places of religious worship permitted?,id5,qid1033
Are places of religious worship allowed?,id5,qid1034
Are schools and colleges (excluding colleges or trade schools operated for profit) permitted?,id5,qid1035
Are schools and colleges (excluding colleges or trade schools operated for profit) allowed?,id5,qid1036
Are public parking lots permitted?,id5,qid1037
Are public parking lots allowed?,id5,qid1038
Are light commercial (excluding wholesale sales) permitted?,id5,qid1039
Are light commercial (excluding wholesale sales) allowed?,id5,qid1040
Are indoor theaters permitted?,id5,qid1041
Are indoor theaters allowed?,id5,qid1042
Are financial services permitted?,id5,qid1043
Are financial services allowed?,id5,qid1044
Are religious cultural and fraternal activities permitted?,id5,qid1045
Are religious cultural and fraternal activities allowed?,id5,qid1046
Are health and medical institutions (such as hospitals) permitted?,id5,qid1047
Are health and medical institutions (such as hospitals) allowed?,id5,qid1048
Are building material supply sales (wholesale and retail) permitted?,id5,qid1049
Are building material supply sales (wholesale and retail) allowed?,id5,qid1050
Are plastic product design molding and assembly permitted?,id5,qid1051
Are plastic product design molding and assembly allowed?,id5,qid1052
Are single-family dwellings permitted?,id5,qid1053
Are single-family dwellings allowed?,id5,qid1054
Are research or testing laboratories permitted?,id5,qid1055
Are research or testing laboratories allowed?,id5,qid1056
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences permitted?,id5,qid1057
Are multiple family dwellings such as apartment houses boarding houses condominiums and congregate residences allowed?,id5,qid1058
Are libraries permitted?,id5,qid1059
Are libraries allowed?,id5,qid1060
Are school and colleges operated for profit (including commercial vocational and trade schools) permitted?,id5,qid1061
Are school and colleges operated for profit (including commercial vocational and trade schools) allowed?,id5,qid1062
Are business services permitted?,id5,qid1063
Are business services allowed?,id5,qid1064
Are quarries permitted?,id5,qid1065
Are quarries allowed?,id5,qid1066
Are hotels and motels (excluding other residential occupancies) permitted?,id5,qid1067
Are hotels and motels (excluding other residential occupancies) allowed?,id5,qid1068
Are indoor swap meets permitted?,id5,qid1069
Are indoor swap meets allowed?,id5,qid1070
Are auto body shops permitted?,id5,qid1071
Are auto body shops allowed?,id5,qid1072
