question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id1,qid0
Which zoning districts permit recreation centers?,id1,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id1,qid2
Which zoning districts allow quarries?,id1,qid3
Which zoning districts permit quarries?,id1,qid4
I would like to build quarries. Which zoning districts permits this use?,id1,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id1,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id1,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id1,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id1,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id1,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id1,qid11
Which zoning districts allow financial services?,id1,qid12
Which zoning districts permit financial services?,id1,qid13
I would like to build financial services. Which zoning districts permits this use?,id1,qid14
Which zoning districts allow places of religious worship?,id1,qid15
Which zoning districts permit places of religious worship?,id1,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id1,qid17
Which zoning districts allow temporary buildings?,id1,qid18
Which zoning districts permit temporary buildings?,id1,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id1,qid20
Which zoning districts allow boat storage yards?,id1,qid21
Which zoning districts permit boat storage yards?,id1,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id1,qid23
Which zoning districts allow wood products manufacturing and finishing?,id1,qid24
Which zoning districts permit wood products manufacturing and finishing?,id1,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id1,qid26
Which zoning districts allow private garages?,id1,qid27
Which zoning districts permit private garages?,id1,qid28
I would like to build private garages. Which zoning districts permits this use?,id1,qid29
Which zoning districts allow storage yards?,id1,qid30
Which zoning districts permit storage yards?,id1,qid31
I would like to build storage yards. Which zoning districts permits this use?,id1,qid32
Which zoning districts allow salt works?,id1,qid33
Which zoning districts permit salt works?,id1,qid34
I would like to build salt works. Which zoning districts permits this use?,id1,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id1,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id1,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id1,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id1,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id1,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id1,qid41
Which zoning districts allow stadiums and arenas?,id1,qid42
Which zoning districts permit stadiums and arenas?,id1,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id1,qid44
Which zoning districts allow petroleum refining?,id1,qid45
Which zoning districts permit petroleum refining?,id1,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id1,qid47
Which zoning districts allow monument works?,id1,qid48
Which zoning districts permit monument works?,id1,qid49
I would like to build monument works. Which zoning districts permits this use?,id1,qid50
Which zoning districts allow family and group day care facilities?,id1,qid51
Which zoning districts permit family and group day care facilities?,id1,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id1,qid53
Which zoning districts allow plastic product design molding and assembly?,id1,qid54
