question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id11,qid0
Which zoning districts permit recreation centers?,id11,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id11,qid2
Which zoning districts allow quarries?,id11,qid3
Which zoning districts permit quarries?,id11,qid4
I would like to build quarries. Which zoning districts permits this use?,id11,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id11,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id11,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id11,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id11,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id11,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id11,qid11
Which zoning districts allow financial services?,id11,qid12
Which zoning districts permit financial services?,id11,qid13
I would like to build financial services. Which zoning districts permits this use?,id11,qid14
Which zoning districts allow places of religious worship?,id11,qid15
Which zoning districts permit places of religious worship?,id11,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id11,qid17
Which zoning districts allow temporary buildings?,id11,qid18
Which zoning districts permit temporary buildings?,id11,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id11,qid20
Which zoning districts allow boat storage yards?,id11,qid21
Which zoning districts permit boat storage yards?,id11,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id11,qid23
Which zoning districts allow wood products manufacturing and finishing?,id11,qid24
Which zoning districts permit wood products manufacturing and finishing?,id11,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id11,qid26
Which zoning districts allow private garages?,id11,qid27
Which zoning districts permit private garages?,id11,qid28
I would like to build private garages. Which zoning districts permits this use?,id11,qid29
Which zoning districts allow storage yards?,id11,qid30
Which zoning districts permit storage yards?,id11,qid31
I would like to build storage yards. Which zoning districts permits this use?,id11,qid32
Which zoning districts allow salt works?,id11,qid33
Which zoning districts permit salt works?,id11,qid34
I would like to build salt works. Which zoning districts permits this use?,id11,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id11,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id11,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id11,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id11,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id11,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id11,qid41
Which zoning districts allow stadiums and arenas?,id11,qid42
Which zoning districts permit stadiums and arenas?,id11,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id11,qid44
Which zoning districts allow petroleum refining?,id11,qid45
Which zoning districts permit petroleum refining?,id11,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id11,qid47
Which zoning districts allow monument works?,id11,qid48
Which zoning districts permit monument works?,id11,qid49
I would like to build monument works. Which zoning districts permits this use?,id11,qid50
Which zoning districts allow family and group day care facilities?,id11,qid51
Which zoning districts permit family and group day care facilities?,id11,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id11,qid53
Which zoning districts allow plastic product design molding and assembly?,id11,qid54
Which zoning districts permit plastic product design molding and assembly?,id11,qid55
I would like to build plastic product design molding and assembly. Which zoning districts permits this use?,id11,qid56
Which zoning districts allow auto body shops?,id11,qid57
Which zoning districts permit auto body shops?,id11,qid58
I would like to build auto body shops. Which zoning districts permits this use?,id11,qid59
Which zoning districts allow alcohol manufacturing?,id11,qid60
Which zoning districts permit alcohol manufacturing?,id11,qid61
I would like to build alcohol manufacturing. Which zoning districts permits this use?,id11,qid62
Which zoning districts allow public parking lots?,id11,qid63
Which zoning districts permit public parking lots?,id11,qid64
I would like to build public parking lots. Which zoning districts permits this use?,id11,qid65
Which zoning districts allow rehabilitation centers?,id11,qid66
Which zoning districts permit rehabilitation centers?,id11,qid67
I would like to build rehabilitation centers. Which zoning districts permits this use?,id11,qid68
Which zoning districts allow taverns and cocktail lounges?,id11,qid69
Which zoning districts permit taverns and cocktail lounges?,id11,qid70
I would like to build taverns and cocktail lounges. Which zoning districts permits this use?,id11,qid71
Which zoning districts allow self-storage warehouses?,id11,qid72
Which zoning districts permit self-storage warehouses?,id11,qid73
I would like to build self-storage warehouses. Which zoning districts permits this use?,id11,qid74
Which zoning districts allow automotive motor fuel dispensing facilities?,id11,qid75
Which zoning districts permit automotive motor fuel dispensing facilities?,id11,qid76
I would like to build automotive motor fuel dispensing facilities. Which zoning districts permits this use?,id11,qid77
Which zoning districts allow small metal products design casting fabricating and processing?,id11,qid78
Which zoning districts permit small metal products design casting fabricating and processing?,id11,qid79
I would like to build small metal products design casting fabricating and processing. Which zoning districts permits this use?,id11,qid80
Which zoning districts allow religious cultural and fraternal activities?,id11,qid81
Which zoning districts permit religious cultural and fraternal activities?,id11,qid82
I would like to build religious cultural and fraternal activities. Which zoning districts permits this use?,id11,qid83
Which zoning districts allow public utility stations?,id11,qid84
Which zoning districts permit public utility stations?,id11,qid85
I would like to build public utility stations. Which zoning districts permits this use?,id11,qid86
Which zoning districts allow business services?,id11,qid87
Which zoning districts permit business services?,id11,qid88
I would like to build business services. Which zoning districts permits this use?,id11,qid89
Which zoning districts allow cotton gins?,id11,qid90
Which zoning districts permit cotton gins?,id11,qid91
I would like to build cotton gins. Which zoning districts permits this use?,id11,qid92
Which zoning districts allow breweries?,id11,qid93
Which zoning districts permit breweries?,id11,qid94
I would like to build breweries. Which zoning districts permits this use?,id11,qid95
Which zoning districts allow dry cleaning plants?,id11,qid96
Which zoning districts permit dry cleaning plants?,id11,qid97
I would like to build dry cleaning plants. Which zoning districts permits this use?,id11,qid98
Which zoning districts allow health and medical institutions (such as hospitals)?,id11,qid99
Which zoning districts permit health and medical institutions (such as hospitals)?,id11,qid100
I would like to build health and medical institutions (such as hospitals). Which zoning districts permits this use?,id11,qid101
Which zoning districts allow public and governmental services?,id11,qid102
Which zoning districts permit public and governmental services?,id11,qid103
I would like to build public and governmental services. Which zoning districts permits this use?,id11,qid104
Which zoning districts allow libraries?,id11,qid105
Which zoning districts permit libraries?,id11,qid106
I would like to build libraries. Which zoning districts permits this use?,id11,qid107
Which zoning districts allow police and fire department stations?,id11,qid108
Which zoning districts permit police and fire department stations?,id11,qid109
I would like to build police and fire department stations. Which zoning districts permits this use?,id11,qid110
Which zoning districts allow restaurants?,id11,qid111
Which zoning districts permit restaurants?,id11,qid112
I would like to build restaurants. Which zoning districts permits this use?,id11,qid113
Which zoning districts allow open space?,id11,qid114
Which zoning districts permit open space?,id11,qid115
I would like to build open space. Which zoning districts permits this use?,id11,qid116
Which zoning districts allow furniture assembly?,id11,qid117
Which zoning districts permit furniture assembly?,id11,qid118
I would like to build furniture assembly. Which zoning districts permits this use?,id11,qid119
Which zoning districts allow commercial printing and publishing?,id11,qid120
Which zoning districts permit commercial printing and publishing?,id11,qid121
I would like to build commercial printing and publishing. Which zoning districts permits this use?,id11,qid122
