question,document_identifier,question_identifier
Which zoning districts allow recreation centers?,id8,qid0
Which zoning districts permit recreation centers?,id8,qid1
I would like to build recreation centers. Which zoning districts permits this use?,id8,qid2
Which zoning districts allow quarries?,id8,qid3
Which zoning districts permit quarries?,id8,qid4
I would like to build quarries. Which zoning districts permits this use?,id8,qid5
Which zoning districts allow schools and colleges (excluding colleges or trade schools operated for profit)?,id8,qid6
Which zoning districts permit schools and colleges (excluding colleges or trade schools operated for profit)?,id8,qid7
I would like to build schools and colleges (excluding colleges or trade schools operated for profit). Which zoning districts permits this use?,id8,qid8
Which zoning districts allow school and colleges operated for profit (including commercial vocational and trade schools)?,id8,qid9
Which zoning districts permit school and colleges operated for profit (including commercial vocational and trade schools)?,id8,qid10
I would like to build school and colleges operated for profit (including commercial vocational and trade schools). Which zoning districts permits this use?,id8,qid11
Which zoning districts allow financial services?,id8,qid12
Which zoning districts permit financial services?,id8,qid13
I would like to build financial services. Which zoning districts permits this use?,id8,qid14
Which zoning districts allow places of religious worship?,id8,qid15
Which zoning districts permit places of religious worship?,id8,qid16
I would like to build places of religious worship. Which zoning districts permits this use?,id8,qid17
Which zoning districts allow temporary buildings?,id8,qid18
Which zoning districts permit temporary buildings?,id8,qid19
I would like to build temporary buildings. Which zoning districts permits this use?,id8,qid20
Which zoning districts allow boat storage yards?,id8,qid21
Which zoning districts permit boat storage yards?,id8,qid22
I would like to build boat storage yards. Which zoning districts permits this use?,id8,qid23
Which zoning districts allow wood products manufacturing and finishing?,id8,qid24
Which zoning districts permit wood products manufacturing and finishing?,id8,qid25
I would like to build wood products manufacturing and finishing. Which zoning districts permits this use?,id8,qid26
Which zoning districts allow private garages?,id8,qid27
Which zoning districts permit private garages?,id8,qid28
I would like to build private garages. Which zoning districts permits this use?,id8,qid29
Which zoning districts allow storage yards?,id8,qid30
Which zoning districts permit storage yards?,id8,qid31
I would like to build storage yards. Which zoning districts permits this use?,id8,qid32
Which zoning districts allow salt works?,id8,qid33
Which zoning districts permit salt works?,id8,qid34
I would like to build salt works. Which zoning districts permits this use?,id8,qid35
Which zoning districts allow cultural institutions (such as museums and art galleries)?,id8,qid36
Which zoning districts permit cultural institutions (such as museums and art galleries)?,id8,qid37
I would like to build cultural institutions (such as museums and art galleries). Which zoning districts permits this use?,id8,qid38
Which zoning districts allow automotive self-service motor fuel dispensing facilities?,id8,qid39
Which zoning districts permit automotive self-service motor fuel dispensing facilities?,id8,qid40
I would like to build automotive self-service motor fuel dispensing facilities. Which zoning districts permits this use?,id8,qid41
Which zoning districts allow stadiums and arenas?,id8,qid42
Which zoning districts permit stadiums and arenas?,id8,qid43
I would like to build stadiums and arenas. Which zoning districts permits this use?,id8,qid44
Which zoning districts allow petroleum refining?,id8,qid45
Which zoning districts permit petroleum refining?,id8,qid46
I would like to build petroleum refining. Which zoning districts permits this use?,id8,qid47
Which zoning districts allow monument works?,id8,qid48
Which zoning districts permit monument works?,id8,qid49
I would like to build monument works. Which zoning districts permits this use?,id8,qid50
Which zoning districts allow family and group day care facilities?,id8,qid51
Which zoning districts permit family and group day care facilities?,id8,qid52
I would like to build family and group day care facilities. Which zoning districts permits this use?,id8,qid53
Which zoning districts allow plastic product design molding and assembly?,id8,qid54
Which zoning districts permit plastic product design molding and assembly?,id8,qid55
I would like to build plastic product design molding and assembly. Which zoning districts permits this use?,id8,qid56
Which zoning districts allow auto body shops?,id8,qid57
Which zoning districts permit auto body shops?,id8,qid58
I would like to build auto body shops. Which zoning districts permits this use?,id8,qid59
Which zoning districts allow alcohol manufacturing?,id8,qid60
Which zoning districts permit alcohol manufacturing?,id8,qid61
I would like to build alcohol manufacturing. Which zoning districts permits this use?,id8,qid62
Which zoning districts allow public parking lots?,id8,qid63
Which zoning districts permit public parking lots?,id8,qid64
I would like to build public parking lots. Which zoning districts permits this use?,id8,qid65
Which zoning districts allow rehabilitation centers?,id8,qid66
Which zoning districts permit rehabilitation centers?,id8,qid67
I would like to build rehabilitation centers. Which zoning districts permits this use?,id8,qid68
Which zoning districts allow taverns and cocktail lounges?,id8,qid69
Which zoning districts permit taverns and cocktail lounges?,id8,qid70
I would like to build taverns and cocktail lounges. Which zoning districts permits this use?,id8,qid71
Which zoning districts allow self-storage warehouses?,id8,qid72
Which zoning districts permit self-storage warehouses?,id8,qid73
I would like to build self-storage warehouses. Which zoning districts permits this use?,id8,qid74
Which zoning districts allow automotive motor fuel dispensing facilities?,id8,qid75
Which zoning districts permit automotive motor fuel dispensing facilities?,id8,qid76
I would like to build automotive motor fuel dispensing facilities. Which zoning districts permits this use?,id8,qid77
Which zoning districts allow small metal products design casting fabricating and processing?,id8,qid78
Which zoning districts permit small metal products design casting fabricating and processing?,id8,qid79
I would like to build small metal products design casting fabricating and processing. Which zoning districts permits this use?,id8,qid80
Which zoning districts allow religious cultural and fraternal activities?,id8,qid81
Which zoning districts permit religious cultural and fraternal activities?,id8,qid82
I would like to build religious cultural and fraternal activities. Which zoning districts permits this use?,id8,qid83
Which zoning districts allow public utility stations?,id8,qid84
Which zoning districts permit public utility stations?,id8,qid85
I would like to build public utility stations. Which zoning districts permits this use?,id8,qid86
Which zoning districts allow business services?,id8,qid87
Which zoning districts permit business services?,id8,qid88
I would like to build business services. Which zoning districts permits this use?,id8,qid89
Which zoning districts allow cotton gins?,id8,qid90
Which zoning districts permit cotton gins?,id8,qid91
I would like to build cotton gins. Which zoning districts permits this use?,id8,qid92
Which zoning districts allow breweries?,id8,qid93
Which zoning districts permit breweries?,id8,qid94
I would like to build breweries. Which zoning districts permits this use?,id8,qid95
Which zoning districts allow dry cleaning plants?,id8,qid96
Which zoning districts permit dry cleaning plants?,id8,qid97
I would like to build dry cleaning plants. Which zoning districts permits this use?,id8,qid98
Which zoning districts allow health and medical institutions (such as hospitals)?,id8,qid99
Which zoning districts permit health and medical institutions (such as hospitals)?,id8,qid100
I would like to build health and medical institutions (such as hospitals). Which zoning districts permits this use?,id8,qid101
Which zoning districts allow public and governmental services?,id8,qid102
Which zoning districts permit public and governmental services?,id8,qid103
I would like to build public and governmental services. Which zoning districts permits this use?,id8,qid104
Which zoning districts allow libraries?,id8,qid105
Which zoning districts permit libraries?,id8,qid106
I would like to build libraries. Which zoning districts permits this use?,id8,qid107
Which zoning districts allow police and fire department stations?,id8,qid108
Which zoning districts permit police and fire department stations?,id8,qid109
I would like to build police and fire department stations. Which zoning districts permits this use?,id8,qid110
Which zoning districts allow restaurants?,id8,qid111
Which zoning districts permit restaurants?,id8,qid112
I would like to build restaurants. Which zoning districts permits this use?,id8,qid113
Which zoning districts allow open space?,id8,qid114
Which zoning districts permit open space?,id8,qid115
I would like to build open space. Which zoning districts permits this use?,id8,qid116
Which zoning districts allow furniture assembly?,id8,qid117
Which zoning districts permit furniture assembly?,id8,qid118
I would like to build furniture assembly. Which zoning districts permits this use?,id8,qid119
Which zoning districts allow commercial printing and publishing?,id8,qid120
Which zoning districts permit commercial printing and publishing?,id8,qid121
I would like to build commercial printing and publishing. Which zoning districts permits this use?,id8,qid122
Which zoning districts allow research or testing laboratories?,id8,qid123
Which zoning districts permit research or testing laboratories?,id8,qid124
I would like to build research or testing laboratories. Which zoning districts permits this use?,id8,qid125
Which zoning districts allow single-family dwellings?,id8,qid126
Which zoning districts permit single-family dwellings?,id8,qid127
