question,document_identifier,question_identifier
Are community centers (including wholesale and retail sales) permitted in a C3 zoning district?,id5,qid500
Are community centers (including wholesale and retail sales) allowed in a C4 zoning district?,id5,qid501
Are community centers (including wholesale and retail sales) permitted in a C4 zoning district?,id5,qid502
Are health and medical institutions (such as hospitals) allowed in a C3 zoning district?,id5,qid503
Are health and medical institutions (such as hospitals) permitted in a C3 zoning district?,id5,qid504
Are health and medical institutions (such as hospitals) allowed in a C4 zoning district?,id5,qid505
Are health and medical institutions (such as hospitals) permitted in a C4 zoning district?,id5,qid506
Are hotels and motels (excluding other residential occupancies) allowed in a C3 zoning district?,id5,qid507
Are hotels and motels (excluding other residential occupancies) permitted in a C3 zoning district?,id5,qid508
Are hotels and motels (excluding other residential occupancies) allowed in a C4 zoning district?,id5,qid509
Are hotels and motels (excluding other residential occupancies) permitted in a C4 zoning district?,id5,qid510
Are commercial printing and publishing allowed in a C3 zoning district?,id5,qid511
Are commercial printing and publishing permitted in a C3 zoning district?,id5,qid512
Are commercial printing and publishing allowed in a C4 zoning district?,id5,qid513
Are commercial printing and publishing permitted in a C4 zoning district?,id5,qid514
Are taverns and cocktail lounges allowed in a C3 zoning district?,id5,qid515
Are taverns and cocktail lounges permitted in a C3 zoning district?,id5,qid516
Are taverns and cocktail lounges allowed in a C4 zoning district?,id5,qid517
Are taverns and cocktail lounges permitted in a C4 zoning district?,id5,qid518
Are indoor theaters allowed in a C3 zoning district?,id5,qid519
Are indoor theaters permitted in a C3 zoning district?,id5,qid520
Are indoor theaters allowed in a C4 zoning district?,id5,qid521
Are indoor theaters permitted in a C4 zoning district?,id5,qid522
Are self-storage warehouses allowed in a C3 zoning district?,id5,qid523
Are self-storage warehouses permitted in a C3 zoning district?,id5,qid524
Are self-storage warehouses allowed in a C4 zoning district?,id5,qid525
Are self-storage warehouses permitted in a C4 zoning district?,id5,qid526
Are major automotive repair allowed in a C4 zoning district?,id5,qid527
Are major automotive repair permitted in a C4 zoning district?,id5,qid528
Are commercial bakeries allowed in a C4 zoning district?,id5,qid529
Are commercial bakeries permitted in a C4 zoning district?,id5,qid530
Are regional commercial centers (including wholesale and retail sales) allowed in a C4 zoning district?,id5,qid531
Are regional commercial centers (including wholesale and retail sales) permitted in a C4 zoning district?,id5,qid532
Are plastic product design molding and assembly allowed in a C4 zoning district?,id5,qid533
Are plastic product design molding and assembly permitted in a C4 zoning district?,id5,qid534
Are small metal products design casting fabricating and processing allowed in a C4 zoning district?,id5,qid535
Are small metal products design casting fabricating and processing permitted in a C4 zoning district?,id5,qid536
Are manufacture and finishing allowed in a C4 zoning district?,id5,qid537
Are manufacture and finishing permitted in a C4 zoning district?,id5,qid538
Are storage yards allowed in a C4 zoning district?,id5,qid539
Are storage yards permitted in a C4 zoning district?,id5,qid540
Are wood products manufacturing and finishing allowed in a C4 zoning district?,id5,qid541
Are wood products manufacturing and finishing permitted in a C4 zoning district?,id5,qid542
Are warehouses allowed in a FI1 zoning district?,id5,qid543
Are warehouses permitted in a FI1 zoning district?,id5,qid544
Are warehouses allowed in a FI2 zoning district?,id5,qid545
Are warehouses permitted in a FI2 zoning district?,id5,qid546
Are warehouses allowed in a FI3 zoning district?,id5,qid547
Are warehouses permitted in a FI3 zoning district?,id5,qid548
Are research or testing laboratories allowed in a FI1 zoning district?,id5,qid549
Are research or testing laboratories permitted in a FI1 zoning district?,id5,qid550
Are research or testing laboratories allowed in a FI2 zoning district?,id5,qid551
Are research or testing laboratories permitted in a FI2 zoning district?,id5,qid552
Are research or testing laboratories allowed in a FI3 zoning district?,id5,qid553
Are research or testing laboratories permitted in a FI3 zoning district?,id5,qid554
Are product distribution centers allowed in a FI1 zoning district?,id5,qid555
Are product distribution centers permitted in a FI1 zoning district?,id5,qid556
Are product distribution centers allowed in a FI2 zoning district?,id5,qid557
Are product distribution centers permitted in a FI2 zoning district?,id5,qid558
Are product distribution centers allowed in a FI3 zoning district?,id5,qid559
Are product distribution centers permitted in a FI3 zoning district?,id5,qid560
Are woodworking shops allowed in a FI1 zoning district?,id5,qid561
Are woodworking shops permitted in a FI1 zoning district?,id5,qid562
Are woodworking shops allowed in a FI2 zoning district?,id5,qid563
Are woodworking shops permitted in a FI2 zoning district?,id5,qid564
Are woodworking shops allowed in a FI3 zoning district?,id5,qid565
Are woodworking shops permitted in a FI3 zoning district?,id5,qid566
Are auto body shops allowed in a FI1 zoning district?,id5,qid567
Are auto body shops permitted in a FI1 zoning district?,id5,qid568
Are auto body shops allowed in a FI2 zoning district?,id5,qid569
Are auto body shops permitted in a FI2 zoning district?,id5,qid570
Are auto body shops allowed in a FI3 zoning district?,id5,qid571
Are auto body shops permitted in a FI3 zoning district?,id5,qid572
Are furniture assembly allowed in a FI1 zoning district?,id5,qid573
Are furniture assembly permitted in a FI1 zoning district?,id5,qid574
Are furniture assembly allowed in a FI2 zoning district?,id5,qid575
Are furniture assembly permitted in a FI2 zoning district?,id5,qid576
Are furniture assembly allowed in a FI3 zoning district?,id5,qid577
Are furniture assembly permitted in a FI3 zoning district?,id5,qid578
Are dry cleaning plants allowed in a FI1 zoning district?,id5,qid579
Are dry cleaning plants permitted in a FI1 zoning district?,id5,qid580
Are dry cleaning plants allowed in a FI2 zoning district?,id5,qid581
Are dry cleaning plants permitted in a FI2 zoning district?,id5,qid582
Are dry cleaning plants allowed in a FI3 zoning district?,id5,qid583
Are dry cleaning plants permitted in a FI3 zoning district?,id5,qid584
Are machine shops allowed in a FI1 zoning district?,id5,qid585
Are machine shops permitted in a FI1 zoning district?,id5,qid586
Are machine shops allowed in a FI2 zoning district?,id5,qid587
Are machine shops permitted in a FI2 zoning district?,id5,qid588
Are machine shops allowed in a FI3 zoning district?,id5,qid589
Are machine shops permitted in a FI3 zoning district?,id5,qid590
Are boat storage yards allowed in a FI1 zoning district?,id5,qid591
